Algorithm,train_time_avg,train_time_std,test_time_avg,test_time_std,train_loss_avg,train_loss_std,val_loss_avg,val_loss_std,test_acc_avg,test_acc_std
Base,213.2167193,5.371694048,18.27655531,0.245423037,0.452160218,0.048378481,5.568430233,0.675113494,0.411221337,0.018764927
BatchNorm,256.8938452,7.496805431,20.37931823,0.242233816,0.414247239,0.051288803,6.547158527,0.610933229,0.397056431,0.021817665
FC4,256.7535961,62.77648775,19.84082554,0.423205245,0.517465004,0.055876122,5.724909496,0.395327776,0.371199229,0.025267025
GreyEdge,296.6520115,36.12698069,32.98180647,0.84772674,0.502454406,0.077973889,5.839441109,1.027997496,0.390502521,0.030173026
GreyWorld,205.2192846,5.920281898,18.16494477,0.290714429,0.450723296,0.052199963,5.379802561,0.284324404,0.413481864,0.027759241
WhitePatch,333.464077,21.696274,31.87490477,0.297420239,0.451371107,0.057212668,5.45784297,0.310677038,0.421938527,0.01750706
